sentence,labels
"Jab Saima ghar pohoncha, usne dekha ke Laiba wahan pehle se maujood tha; dono gaye.",O B-PER O O O O O B-PER O O O O O O O
Kal Rameez subha festival me jaega aur uske baad class hogi.,O B-PER O B-EVENT O O O O O O O
Metro Hospital ka office Quetta me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC O O O O O
Kya tumne Shehryar ka message dekha? woh Quetta me hain and unreachable.,O O B-PER O O O O B-LOC O O O O
"Fizza kal 25 Dec ko meeting attend karega, waqt 10:00 AM.",B-PER O B-DATE I-DATE O B-EVENT O O O O O
Bilal Bashir aur Shanzay Arshad aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER I-PER O O O O O O O O O
Maaz ne annual function attend kiya aur report submit ki.,B-PER O B-EVENT I-EVENT O O O O O O
Khalid ko book pasand aaya lekin price zyada tha.,B-PER O B-PRODUCT O O O O O O
"Shameem Javeria school ki meeting me shamil tha, principal ne bola.",B-PER I-PER O O O O O O O O O
Shheryar aurh Hafas aj shopping mall gaye - parking paid thi.,B-PER O B-PER O O O O O O O O
"Fatima Noor kal 3-January ko conference attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE O B-EVENT O O O O O
Nadia ne phone ghar bheja; tracking no. ABC123.,B-PER O B-PRODUCT O O O O O
Laila Danish ne concert attend kiya aur report submit ki.,B-PER I-PER O B-EVENT O O O O O O
Khadija Bushra ne online USB phone order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
Mehreen aur Yumna Irfan aj shopping mall gaye - parking paid thi.,B-PER O B-PER I-PER O O O O O O O O
"Fahad ne Gulzar ko camera gift kiya, dono khush.",B-PER O B-PER O B-PRODUCT O O O O
Khalil Laila aur Imran Zeeshan aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER I-PER O O O O O O O O O
Nadia Danish ne apna laptop repair karwaya par abhi faulty hai.,B-PER I-PER O O B-PRODUCT O O O O O O
Anam ko Nikon camera pasand aaya lekin price zyada tha.,B-PER O B-PRODUCT I-PRODUCT O O O O O O
Owais se Rawalpindi jaegi aur jakr parhai kregi.,B-PER O B-LOC O O O O O
Rabia library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
Umar - Korangi Industrial Area - aj; short note.,B-PER O B-LOC I-LOC I-LOC O O O O
Ghazanfar Farah ne Fizza ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER O O O O O O O
Iqra Khadija ki meeting 15/08/2023 ko National University me scheduled hai - confirm karo.,B-PER I-PER O O B-DATE O B-ORG I-ORG O O O O O O
Shehryar ne car gahr bheja; tracking no. ABC123.,B-PER O B-PRODUCT O O O O O
"International School ka CEO Erum Shahroz hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER I-PER O O O O O O O O O
Noor aj PK Telecom me kaam krta hai aur meeting rakhni thi.,B-PER O B-ORG I-ORG O O O O O O O O
"Hafsa kal 3-Jan ko blood drive attend karega, waqt 10:00 AM.",B-PER O B-DATE O B-EVENT I-EVENT O O O O O
Bilqis university me khana kha rha tha.,B-PER O O O O O O
Sara aur Yumna aj shopping mall gaye - parking paid thi.,B-PER O B-PER O O O O O O O O
Khalid ne open house attend kiya aur report submit ki.,B-PER O B-EVENT I-EVENT O O O O O O
Kya Khadija Bushra ko pata hai ke Korangi Industrial Area me exam cancel hogaya? ye serious issue hai.,O B-PER I-PER O O O O B-LOC I-LOC I-LOC O O O O O O O O
"Wadra Beenish kal 25 Dec ko open house attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE I-DATE O B-EVENT I-EVENT O O O O O
Noman aur Omar aj market gaye thay; phir cafe me coffee pi.,B-PER O B-PER O O O O O O O O O
Metro Hospital ka office Islamabad me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC O O O O O
Shanzay fruit bana rhi hai kyunki unko healthy rehna hai.,B-PER O O O O O O O O O
"Jab Aman ghar pohoncha, usne dekha ke Sufyan wahan pehle se maujood tha; dono gaye.",O B-PER O O O O O B-PER O O O O O O O
"City Hospital ka CEO Adil hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER O O O O O O O O O
"Anam Shameem aur unki team ne sports day organize kiya, jisme staff shamil thay aur media cover karegi.",B-PER I-PER O O O O B-EVENT I-EVENT O O O O O O O O O O
Shanzay Zainab aur Ahmed Hafsa aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER I-PER O O O O O O O O O
"National University ka CEO Veena Shanzay hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER I-PER O O O O O O O O O
Kal Zarah subha seminar me jaega aur uske baad class hogi.,O B-PER O B-EVENT O O O O O O O
Subha subha Shanzay Zainab Gulberg pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER I-PER B-LOC O O O O O O O O
Khadija Rashid library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
"Bashir (jo Dr. hai) DHA Karachi se wapas aaega, phir apna laptop check karega.",B-PER O O O B-LOC I-LOC O O O O O O O O
"Samir ne Laila Kiran ko USB phone gifth kiya, dono khush.",B-PER O B-PER I-PER O B-PRODUCT I-PRODUCT O O O O
"Qudsia (jo Dr. hai) Gulberg se wapas aaega, phir apna laptop check karega.",B-PER O O O B-LOC O O O O O O O O
"Phone: USB phone, bought by Rida. Delivery expected next week.",O B-PRODUCT I-PRODUCT O O B-PER O O O O
Omar - Faisalabad - aj; short note.,B-PER O B-LOC O O O O
Junaid Zoya ki company City College ke sath partnership sign kar rahi hai; press release will follow.,B-PER I-PER O O B-ORG I-ORG O O O O O O O O O O O
Usman Sajid - Sialkot - aj; short note.,B-PER I-PER O B-LOC O O O O
Kya tumne Hassan ka message dekha? woh Multan me hain and unreachable.,O O B-PER O O O O B-LOC O O O O
Sarfaraz se Peshawar jaegi aur jakr parhai kregi.,B-PER O B-LOC O O O O O
Research Center ka office Rawalpindi me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC O O O O O
Mehreen ki tabiyat theek nahi hai - doctor bula lo.,B-PER O O O O O O O O O
"Anam Shameem aur unki team ne meeting organize kiya, jisme staff shamil thay aur media cover karegi.",B-PER I-PER O O O O B-EVENT O O O O O O O O O O
"Metro Hospital ka CEO Adeel Khalil hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER I-PER O O O O O O O O O
Usman ne motorcycle ghar bheja; tracking no. ABC123.,B-PER O B-PRODUCT O O O O O
Arsalan Lubna ki meeting parso ko Careem me scheduled hai - confirm karo.,B-PER I-PER O O B-DATE O B-ORG O O O O O O
"Khadija Rashid ne kal Gulberg se call ki aur bola, 'main late aaon ga'.",B-PER I-PER O O B-LOC O O O O O O O O O
Rana Shameem aur Rashid Mariam aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER I-PER O O O O O O O O O
Zainab Imran ne online laptop order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT O O O O O O O O O O
Rimsha Rameez ne annual function attend kiya aur report submit ki.,B-PER I-PER O B-EVENT I-EVENT O O O O O O
Subha subha Nadia Junaid Lahore pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER I-PER B-LOC O O O O O O O O
"Pervaiz (jo Dr. hai) DHA Karachi se wapas aaega, phir apna laptop check karega.",B-PER O O O B-LOC I-LOC O O O O O O O O
"Tahir aur unki team ne match organize kiya, jisme staff shamil thay aur media cover karegi.",B-PER O O O O B-EVENT O O O O O O O O O O
Bank of Punjab ka office Old Lahore me hai; contact number 0300-1234567.,B-ORG I-ORG I-ORG O O B-LOC I-LOC O O O O O
'Agar tum aa sako to' Arsalan Sufyan ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
Mahnoor Asad ki meeting parso ko International School me scheduled hai - confirm karo.,B-PER I-PER O O B-DATE O B-ORG I-ORG O O O O O O
"Qasim ki shaadi sham ko hai, invitation sent.",B-PER O O B-DATE O O O O
"Phone: phone, bought by Lubna. Delivery expected next week.",O B-PRODUCT O O B-PER O O O O
Shanzay Arshad ne phone ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT O O O O O
"PTCL ka CEO Iqra hai aur woh aaj press conference karenge, media invited.",B-ORG O O B-PER O O O O O O O O O
"Nida Rimsha aur unki team ne wedding organize kiya, jisme staff shamil thay aur media cover karegi.",B-PER I-PER O O O O B-EVENT O O O O O O O O O O
Zoya ne apna Nikon camera repair karwayah par abhi faulty hai.,B-PER O O B-PRODUCT I-PRODUCT O O O O O O
Sajida Zubair library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
"Yumna Irfan school ki meeting me shamil tha, principal ne bola.",B-PER I-PER O O O O O O O O O
Yasir ki tabiyat theek nahi hai - doctor bula lo.,B-PER O O O O O O O O O
"Fahad ne kal Multan seh call ki aur bola, 'main late aaon ga'.",B-PER O O B-LOC O O O O O O O O O
"Phone: USB phone, bought bya Arsalan Lubna. Delivery expected next week.",O B-PRODUCT I-PRODUCT O O B-PER I-PER O O O O
"Fahad Danish ki shaadi 15 Aug ko hai, invitation sent.",B-PER I-PER O O B-DATE I-DATE O O O O
Hassan aur Shanzay Zainab aj shopping mall gaye - parking paid thi.,B-PER O B-PER I-PER O O O O O O O O
Subhan ne electric scooter kharida lekin delivery delay ho gayi.,B-PER O B-PRODUCT I-PRODUCT O O O O O O
Mehreen ne online iPhone 12 order kiya aur delivery pending hai - tracking shows delay.,B-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
Junaid Zoya fruit bana rhi hai kyunki unko healthy rehna hai.,B-PER I-PER O O O O O O O O O
Irfan Saqib ko book pasandh aaya lekin price zyada tha.,B-PER I-PER O B-PRODUCT O O O O O O
Rumi university me khana kha rha tha.,B-PER O O O O O O
Nadia Junaid aur Laiba aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER O O O O O O O O O
Maria ki meeting 2023-08-15 ko PTCL me scheduled hai - confirm karo.,B-PER O O B-DATE O B-ORG O O O O O O
Sana ne tablet kharida lekin delivery delay ho gayi.,B-PER O B-PRODUCT O O O O O O
Laila Danish ko iPhone 12 pasand aaya lekin price zyada tha.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O O
Aaj Beenish Ayesha ne project submit kiya; supervisor ne appreciate kiya.,O B-PER I-PER O O O O O O O O
Faisal ne online Nikon camera order kiya aur delivery pending hai - tracking shows delay.,B-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
University ka office North Karachi me hai; contact number 0300-1234567.,B-ORG O O B-LOC I-LOC O O O O O
Veena Shanzay library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
Arshad ne Warda Beenish ko birthday wish ki via WhatsApp message.,B-PER O B-PER I-PER O O O O O O O
Junaid Sara ne apni behn ke liye iPhone 12 kharida aur gift diya.,B-PER I-PER O O O O O B-PRODUCT I-PRODUCT O O O O
Aaj Waseem Rida ne project submit kiya; supervisor ne appreciate kiya.,O B-PER I-PER O O O O O O O O
"Sara ne apna car sell kar diya aur naya phone liya, refund pending.",B-PER O O B-PRODUCT O O O O O O O O O
"Omar ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER O O O O O O O B-PRODUCT O
Belal ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER O O O O O O O O O O O O
Aaj Imran Zeeshan ne project submit kiya; supervisor ne appreciate kiya.,O B-PER I-PER O O O O O O O O
"Jab Nadia Haroon ghar pohoncha, usne dekha ke Zeeshan Rumi wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER I-PER O O O O O O O
Rashid Vaseem kal Pindi Cantt me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC I-LOC O O O O O O O
Bashir Samir ne wedding attend kiya aur report submit ki.,B-PER I-PER O B-EVENT O O O O O O
"Adeel Khalil ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER I-PER O O O O O O O O O
Shanzay ne Haroon ko birthday wish ki via WhatsApp message.,B-PER O B-PER O O O O O O O
Kya tumne Iqra ka message dekha? woh Lahore me hain and unreachable.,O O B-PER O O O O B-LOC O O O O
Khalil Laila ne camera kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT O O O O O O
"Iqra Khadija kal aaj ko match attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE O B-EVENT O O O O O
Zeeshan Rumi ne apna book repair karwaya par abhi faultya hai.,B-PER I-PER O O B-PRODUCT O O O O O O
'Agar tum aa sako to' Pervaiz ne kaha 'kal subha hi chalein'.,O O O O O B-PER O O O O O O
Sufyan Sadia ne apna USB phone repair karwaya par abhi faulty hai.,B-PER I-PER O O B-PRODUCT I-PRODUCT O O O O O O
Nida Rimsha ki meeting 25-December ko Research Center me scheduled hai - confirm karo.,B-PER I-PER O O B-DATE O B-ORG I-ORG O O O O O O
Subha subha Tahir Karachi pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER B-LOC O O O O O O O O
Kal Tahir subha sports day me jaega aur uske baad class hogi.,O B-PER O B-EVENT I-EVENT O O O O O O O
Nadia aur Aftab aj market gaye thay; phir cafe me coffee pi.,B-PER O B-PER O O O O O O O O O
"Rabia ne apna car sell kar diya aur naya phone liya, refund pending.",B-PER O O B-PRODUCT O O O O O O O O O
Maaz ne laptop kharida lekin delivery delay ho gayi.,B-PER O B-PRODUCT O O O O O O
Rana - Islamabad - aj; short note.,B-PER O B-LOC O O O O
"Rumi ne Yasir ko Nikon camera gift kiya, dono khush.",B-PER O B-PER O B-PRODUCT I-PRODUCT O O O O
"Fahad Danish ne apna book sell kar diya aur naya phone liya, refund pending.",B-PER I-PER O O B-PRODUCT O O O O O O O O O
Maaz se Old Lahore jaegi aur jakr parhai kregi.,B-PER O B-LOC I-LOC O O O O O
Tania Irfan apni dost ke sath Faisalabad jaegi kyunki shopping zaroori thi.,B-PER I-PER O O O O B-LOC O O O O O
Samir Sana ne tablet ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT O O O O O
Hafsa Ibrahim aur Rabia aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER O O O O O O O O O
Rabia Mariam - Pindi Cantt - aj; short note.,B-PER I-PER O B-LOC I-LOC O O O O
Kal Fizza Sarfaraz subha conference me jaega aur uske baad class hogi.,O B-PER I-PER B-DATE B-EVENT O O O O O O O
"Careem ka CEO Minahil Imran hai aur woh aaj press conference karenge, media invited.",B-ORG O O B-PER I-PER O O O B-DATE O O O O O
"Mariam kal 3-Jan ko meeting attend karega, waqt 10:00 AM.",B-PER O B-DATE O B-EVENT O O O O O
"PTCL ka CEO Pervaiz hai aur woh aaj press conference karenge, media invited.",B-ORG O O B-PER O O O O O B-EVENT O O O
Yasir ne Waseem Rida ko birthday wish ki via WhatsApp message.,B-PER O B-PER I-PER O O O O O O O
Rimsha Noreen ne Khalid ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER O O O O O O O
Veena Shanzay aj Metro Hospital me kaam krta hai aur meeting rakhni thi.,B-PER I-PER O B-ORG I-ORG O O O O O O O O
Nawal ne book kharida lekin delivery delay ho gayi.,B-PER O B-PRODUCT O O O O O O
Tahir ne Aman Zain ko birthday wish ki via WhatsApp message.,B-PER O B-PER I-PER O O O O O O O
Kya tumne Minahil Imran ka message dekha? woh Pindi Cantt me hain and unreachable.,O O B-PER I-PER O O O O B-LOC I-LOC O O O O
Aman ko laptop pasand aaya lekin price zyada tha.,B-PER O B-PRODUCT O O O O O O
Kya tumne Imran ka message dekha? woh Defense Phase II me hain and unreachable.,O O B-PER O O O O B-LOC I-LOC I-LOC O O O O
"Qudsia (jo Dr. hai) Karachi se wapas aaega, phir apna laptop check karega.",B-PER O O O B-LOC O O O O O O O O
Arsalan Sufyan kal Quetta me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC O O O O O O O
"Nida ne kal Multan se call ki aur bola, 'main late aaon ga'.",B-PER O O B-LOC O O O O O O O O O
Subha subha Anam Shameem Defense Phase II pohoncha; phir hotel check-in ki aur rest liya.,O B-DATE B-PER I-PER B-LOC I-LOC I-LOC O O O O O O O O
Careem (North Branh) ne notice issue ki - please read.,B-ORG O O O O O O O O O
"Ibrahim ki shaadi kal ko hai, invitation sent.",B-PER O O B-DATE O O O O
Khalid ne apni behn ke liye laptop kharida aur gift diya.,B-PER O O O O O B-PRODUCT O O O O
"Rumi ne kal Multan se call ki aur bola, 'main late aaon ga'.",B-PER O O B-LOC O O O O O O O O O
Nadia Junaid ne apna camera repair karwaya par abhi faulty hai.,B-PER I-PER O O B-PRODUCT O O O O O O
Ahmed library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
Imran ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER O O O O O O O O O O O O
Khadija ki company Metro Hospital ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG I-ORG O O O O O O O O O O O
'Agar tum aa sako to' Arsalan Bushra ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
Khalil Laila ne conference attend kiya aur report submit ki.,B-PER I-PER O B-EVENT O O O O O O
Zainab Maria ke pass Gulberg jaegi aur jakr parhai kregi.,B-PER I-PER O O B-LOC O O O O O
Arsalan Bushra ne online car order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT O O O O O O O O O O
Rabiya ne car kharida lekin delivery delay ho gayi.,B-PER O B-PRODUCT O O O O O O
Shameem aur Erum Shahroz aj market gaye thay; phir cafe me coffee pi.,B-PER O B-PER I-PER O O O O O O O O O
"Rabiya Nawal kal aaj ko wedding attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE O B-EVENT O O O O O
Rameez library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
Shanzay Zainab kal Old Lahore me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC I-LOC O B-EVENT O O O B-PRODUCT O
"HBL ka CEO Ali hai aur woh aaj press conference karenge, media invited.",B-ORG O O B-PER O O O B-DATE O O O O O
Nawal ne iPhone 12 ghar bheja; tracking no. ABC123.,B-PER O B-PRODUCT I-PRODUCT O O O O O
Kya Anam Ali ko pata hai ke Model Town Lahore me exam cancel hogaya? ye serious issue hai.,O B-PER I-PER O O O O B-LOC I-LOC I-LOC O O O O O O O O
Rabia Mariam ne Pervaiz ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER O O O O O O O
Ehsan Khadija ne Laila ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER O O O O O O O
"Sajida Zubair ki shaadi 15/08/2023 ko hai, invitation sent.",B-PER I-PER O O B-DATE O O O O
Zainab Maria ne book kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT O O O O O O
Sara ne book ghar bheja; tracking no. ABC123.,B-PER O B-PRODUCT O O O O O
"Jab Zeeshan Rumi ghar pohoncha, usne dekha kea Khadija wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER O O O O O O O
"Karachi Press ka CEO Junaid hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER O O O O O O O O O
Subha subha Khadija Bushra Model Town Lahore pohoncha; phir hotel check-ina ki aura rest liya.,O O B-PER I-PER B-LOC I-LOC I-LOC O O O O O O O O
Khalid ne tablet kharida lekin delivery delay ho gayi.,B-PER O B-PRODUCT O O O O O O
Rameez - Old Lahore - aj; short note.,B-PER O B-LOC I-LOC O O O O
"Nawal ne apna second-hand laptop sell kar diya aur naya phone liya, refund pending.",B-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O
Adeel Hira ne Ehsan ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER O O O O O O O
Gulzar university me khana kha rha tha.,B-PER O O O O O O
Zainab Imran - Karachi - aj; short note.,B-PER I-PER O B-LOC O O O O
"Jab Qudsia Tahir ghar pohoncha, usne dekha ke Arshad Minahil wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER I-PER O O O O O O O
Anam Shameem aur Noor aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER O O O O O O O O O
Javeria Umar ne Nikon camera kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O O
"Phone: electric scooter, bought by Junaid Pervaiz. Delivery expected next week.",O B-PRODUCT I-PRODUCT O O B-PER I-PER O O O O
Bushra Khadija library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
Rimsha Rameez kal Sialkot me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC O O O O O O O
Yumna aur Rimsha aj shopping mall gaye - parking paid thi.,B-PER O B-PER O O O O O O O O
Umar ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
Irfan Saqib ne Nida ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER O O O O O O O
Subha subha Bilqis Sialkot pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER B-LOC O O O O O O O O
"Rabia Mariam (jo Dr. hai) Islamabad se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC O O O O O O O O
Shanzay se Korangi Industrial Area travel kar rhi hai; accommodation arranged.,B-PER O B-LOC I-LOC I-LOC O O O O O O
Faisal Haroon ki tabiyat theek nahi hai - doctor bula lo.,B-PER I-PER O O O O O O O O O
Sarfaraz Imran ne match attend kiya aur report submit ki.,B-PER I-PER O B-EVENT O O O O O O
Javeria Yumna aj University me kaam krta hai aur meeting rakhni thi.,B-PER I-PER O B-ORG O O O O O O O O
Nida se Karachi jaegi aur jakr parhai kregi.,B-PER O B-LOC O O O O O
Zeeshan university me khana kha rha tha.,B-PER O O O O O O
Subhan ne apni behn ke liye electric scooter kharida aur gift diya.,B-PER O O O O O B-PRODUCT I-PRODUCT O O O O
Usman library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
Rashid Mariam library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
Nadia Sania library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
Aaj Anam Iqra ne project submit kiya; supervisor ne appreciate kiya.,O B-PER I-PER O O O O O O O O
Hamza ne Hafsa Bilal ko birthday wish ki via WhatsApp message.,B-PER O B-PER I-PER O O O O O O O
Subha subha Adeel Khalil Sialkot pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER I-PER B-LOC O O O O O O O O
Zarah ne phone ghar bheja; tracking no. ABC123.,B-PER O B-PRODUCT O O O O O
Shehryar aur Sajid aj shopping mall gaye - parking paid thi.,B-PER O B-PER O O O O O O O O
'Agar tum aa sako to' Laila Kiran ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O B-DATE O O
"Hamza ki shaadi 15-Aug ko hai, invitation sent.",B-PER O O B-DATE O O O O
Ghazanfar ne online camera order kiya aur delivery pending hai - tracking shows delay.,B-PER O O B-PRODUCT O O O O O O O O O O
Sadia Noreen ki meeting 25-December ko City College me scheduled hai - confirm karo.,B-PER I-PER O O B-DATE O B-ORG I-ORG O O O O O O
Mahnoor fruit bana rhi hai kyunki unko healthy rehna hai.,B-PER O O O O O O O O O
Subha subha Fizza Peshawar pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER B-LOC O O O O O O O O
"Irfan ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER O O O O O O O O O
"Sufyan Sadia aur unki team ne sports day organize kiya, jisme staff shamil thay aur media cover karegi.",B-PER I-PER O O O O B-EVENT I-EVENT O O O O O O O O O O
Khalil ki tabiyat theek nahi hai - doctor bula lo.,B-PER O O O O O O O O O
"Khadija Bushra (jo Dr. hai) Old Lahore se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC I-LOC O O O O O O O O
"Sajid ki shaadi 15-Aug ko hai, invitation sent.",B-PER O O B-DATE O O O O
Subha subha Adeel Hira Islamabad pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER I-PER B-LOC O O O O O O O O
Rana ne tablet ghar bheja; tracking no. ABC123.,B-PER O B-PRODUCT O O O O O
"Jab Samir Sana ghar pohoncha, usne dekha ke Aftab wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER O O O O O O O
Warda se Pindi Cantt se wapas aa rha tha jab traffic jam ho gaya.,B-PER O B-LOC I-LOC O O O O O O O O O O
Arshad Minahil ne Beenish Arsalan ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER I-PER O O O O O O O
Nadia Sania ne online iPhone 12 order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
"University ka CEO Shameem haih aur woh aaj press conference karenge, media invited.",B-ORG O O B-PER O O O B-DATE O O O O O
Rana Arsalan ne USB phone ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O
Zain aj National University me kaam krta hai aur meeting rakhni thi.,B-PER O B-ORG I-ORG O O O O O O O O
Kya tumne Hassan ka message dekha? woh Korangi Industrial Area me hain and unreachable.,O O B-PER O O O O B-LOC I-LOC I-LOC O O O O
"Ghazanfar Farah (jo Dr. hai) Islamabad se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC O O O O O O O O
Khalil Laila aur Anam Iqra aja market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER I-PER O O O O O O O O O
Metro Hospital ka office Islamabad Sector G-8 me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC I-LOC I-LOC O O O O O
Shanzay Sara fruit bana rhi hai kyunki unko healthy rehna hai.,B-PER I-PER O O O O O O O O O
Adil Sania se Pindi Cantt jaegi aur jakr parhai kregi.,B-PER I-PER O B-LOC I-LOC O O O O O
PTCL ka office Pindi Cantt me hai; contact number 0300-1234567.,B-ORG O O B-LOC I-LOC O O O O O
Aman Umair apni dost ke sath Peshawar jaegi kyunki shopping zaroori thi.,B-PER I-PER O O O O B-LOC O O O O O
"City College ka CEO Javeria Sana hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER I-PER O O O O O O O O O
Sara se North Karachi jaegi aur jakr parhai kregi.,B-PER O B-LOC I-LOC O O O O O
Shahroz - Sialkot - aj; short note.,B-PER O B-LOC O O O O
Sufyan ne Ghazanfar Farah ko birthday wish ki via WhatsApp message.,B-PER O B-PER I-PER O O O O O O O
"Yasir ki shaadi 25 Dec ko hai, invitation sent.",B-PER O O B-DATE I-DATE O O O O
Javeria Yumna ne apna tablet repair karwaya par abhi faulty hai.,B-PER I-PER O O B-PRODUCT O O O O O O
Asad ki meeting 15 Aug ko City College me scheduled hai - confirm karo.,B-PER O B-EVENT B-DATE I-DATE O B-ORG I-ORG O O O O O O
Kya Faisal ko pata hai ke Peshawar me exam cancel hogaya? ye serious issue hai.,O B-PER O O O O B-LOC O O O O O O O O
Zarah - North Karachi - aj; short note.,B-PER O B-LOC I-LOC O O O O
Kya Shameem Javeria ko pata hai ke Old Lahore me exam cancel hogaya? ye serious issue hai.,O B-PER I-PER O O O O B-LOC I-LOC O O O O O O O O
Beenish ki company Metro Hospital ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG I-ORG O O O O O O O O O O O
"Jab Sana ghar pohoncha, usne dekha ke Hamza Ghazanfar wahan pehle se maujood tha; dono gaye.",O B-PER O O O O O B-PER I-PER O O O O O O O
Sajida Zubair ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
'Agar tum aa sako to' Umar Dua ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
